/raid/data/tang/venv/lib/python3.11/site-packages/torch/cuda/__init__.py:141: UserWarning: CUDA initialization: Unexpected error from cudaGetDeviceCount(). Did you run some cuda functions before calling NumCudaDevices() that might have already set an error? Error 804: forward compatibility was attempted on non supported HW (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
logits:tensor([[0.4768, 0.5364]]), confscore:tensor([[0.5232, 0.4636]])
logits:tensor([[0.0244, 0.9703]]), confscore:tensor([[0.9756, 0.0297]])
logits:tensor([[0.4531, 0.5415]]), confscore:tensor([[0.5469, 0.4585]])
logits:tensor([[0.4600, 0.5435]]), confscore:tensor([[0.5400, 0.4565]])
logits:tensor([[0.4207, 0.5749]]), confscore:tensor([[0.5793, 0.4251]])
logits:tensor([[0.3985, 0.6387]]), confscore:tensor([[0.6015, 0.3613]])
logits:tensor([[0.4501, 0.5592]]), confscore:tensor([[0.5499, 0.4408]])
logits:tensor([[0.6024, 0.3779]]), confscore:tensor([[0.3976, 0.6221]])
logits:tensor([[0.7021, 0.2730]]), confscore:tensor([[0.2979, 0.7270]])
logits:tensor([[0.4341, 0.5617]]), confscore:tensor([[0.5659, 0.4383]])
logits:tensor([[0.6498, 0.3863]]), confscore:tensor([[0.3502, 0.6137]])
logits:tensor([[0.6330, 0.3907]]), confscore:tensor([[0.3670, 0.6093]])
logits:tensor([[0.4898, 0.4827]]), confscore:tensor([[0.5102, 0.5173]])
logits:tensor([[0.6721, 0.2896]]), confscore:tensor([[0.3279, 0.7104]])
logits:tensor([[0.5300, 0.4779]]), confscore:tensor([[0.4700, 0.5221]])
logits:tensor([[0.7783, 0.2140]]), confscore:tensor([[0.2217, 0.7860]])
logits:tensor([[0.3792, 0.6087]]), confscore:tensor([[0.6208, 0.3913]])
logits:tensor([[0.6244, 0.3428]]), confscore:tensor([[0.3756, 0.6572]])
logits:tensor([[0.4881, 0.5518]]), confscore:tensor([[0.5119, 0.4482]])
logits:tensor([[0.4601, 0.5581]]), confscore:tensor([[0.5399, 0.4419]])
logits:tensor([[0.2882, 0.7202]]), confscore:tensor([[0.7118, 0.2798]])
logits:tensor([[0.7337, 0.2551]]), confscore:tensor([[0.2663, 0.7449]])
logits:tensor([[0.6463, 0.3664]]), confscore:tensor([[0.3537, 0.6336]])
logits:tensor([[0.4742, 0.5645]]), confscore:tensor([[0.5258, 0.4355]])
logits:tensor([[0.8786, 0.1096]]), confscore:tensor([[0.1214, 0.8904]])
logits:tensor([[0.8280, 0.1922]]), confscore:tensor([[0.1720, 0.8078]])
logits:tensor([[0.8325, 0.1637]]), confscore:tensor([[0.1675, 0.8363]])
logits:tensor([[0.1714, 0.8205]]), confscore:tensor([[0.8286, 0.1795]])
logits:tensor([[0.6879, 0.3136]]), confscore:tensor([[0.3121, 0.6864]])
logits:tensor([[0.2826, 0.6983]]), confscore:tensor([[0.7174, 0.3017]])
logits:tensor([[0.3588, 0.6435]]), confscore:tensor([[0.6412, 0.3565]])
logits:tensor([[0.4272, 0.5492]]), confscore:tensor([[0.5728, 0.4508]])
logits:tensor([[0.5876, 0.4098]]), confscore:tensor([[0.4124, 0.5902]])
logits:tensor([[0.8097, 0.1806]]), confscore:tensor([[0.1903, 0.8194]])
logits:tensor([[0.4543, 0.5105]]), confscore:tensor([[0.5457, 0.4895]])
logits:tensor([[0.7611, 0.2520]]), confscore:tensor([[0.2389, 0.7480]])
logits:tensor([[0.7423, 0.2496]]), confscore:tensor([[0.2577, 0.7504]])
logits:tensor([[0.8695, 0.1088]]), confscore:tensor([[0.1305, 0.8912]])
logits:tensor([[0.5347, 0.4452]]), confscore:tensor([[0.4653, 0.5548]])
logits:tensor([[0.4207, 0.5749]]), confscore:tensor([[0.5793, 0.4251]])
logits:tensor([[0.3907, 0.6106]]), confscore:tensor([[0.6093, 0.3894]])
logits:tensor([[0.6632, 0.3348]]), confscore:tensor([[0.3368, 0.6652]])
logits:tensor([[0.3391, 0.6748]]), confscore:tensor([[0.6609, 0.3252]])
logits:tensor([[0.5026, 0.4584]]), confscore:tensor([[0.4974, 0.5416]])
logits:tensor([[0.8611, 0.1240]]), confscore:tensor([[0.1389, 0.8760]])
logits:tensor([[0.8681, 0.1245]]), confscore:tensor([[0.1319, 0.8755]])
logits:tensor([[0.6487, 0.3344]]), confscore:tensor([[0.3513, 0.6656]])
logits:tensor([[0.8099, 0.1912]]), confscore:tensor([[0.1901, 0.8088]])
logits:tensor([[0.8490, 0.1481]]), confscore:tensor([[0.1510, 0.8519]])
logits:tensor([[0.7884, 0.2141]]), confscore:tensor([[0.2116, 0.7859]])
logits:tensor([[0.6323, 0.3572]]), confscore:tensor([[0.3677, 0.6428]])
logits:tensor([[0.8856, 0.1136]]), confscore:tensor([[0.1144, 0.8864]])
logits:tensor([[0.3660, 0.6408]]), confscore:tensor([[0.6340, 0.3592]])
logits:tensor([[0.8051, 0.2409]]), confscore:tensor([[0.1949, 0.7591]])
logits:tensor([[0.3755, 0.5884]]), confscore:tensor([[0.6245, 0.4116]])
logits:tensor([[0.6445, 0.3579]]), confscore:tensor([[0.3555, 0.6421]])
logits:tensor([[0.8425, 0.1270]]), confscore:tensor([[0.1575, 0.8730]])
logits:tensor([[0.3852, 0.6025]]), confscore:tensor([[0.6148, 0.3975]])
logits:tensor([[0.9251, 0.0896]]), confscore:tensor([[0.0749, 0.9104]])
logits:tensor([[0.3811, 0.6179]]), confscore:tensor([[0.6189, 0.3821]])
logits:tensor([[0.8129, 0.1624]]), confscore:tensor([[0.1871, 0.8376]])
logits:tensor([[0.7688, 0.2053]]), confscore:tensor([[0.2312, 0.7947]])
logits:tensor([[0.4765, 0.5059]]), confscore:tensor([[0.5235, 0.4941]])
logits:tensor([[0.8278, 0.1631]]), confscore:tensor([[0.1722, 0.8369]])
logits:tensor([[0.4841, 0.5007]]), confscore:tensor([[0.5159, 0.4993]])
logits:tensor([[0.7572, 0.2502]]), confscore:tensor([[0.2428, 0.7498]])
logits:tensor([[0.8317, 0.1695]]), confscore:tensor([[0.1683, 0.8305]])
logits:tensor([[0.7777, 0.2108]]), confscore:tensor([[0.2223, 0.7892]])
logits:tensor([[0.7798, 0.2153]]), confscore:tensor([[0.2202, 0.7847]])
logits:tensor([[0.6769, 0.3227]]), confscore:tensor([[0.3231, 0.6773]])
logits:tensor([[0.3847, 0.6175]]), confscore:tensor([[0.6153, 0.3825]])
logits:tensor([[0.3588, 0.6435]]), confscore:tensor([[0.6412, 0.3565]])
logits:tensor([[0.7120, 0.2629]]), confscore:tensor([[0.2880, 0.7371]])
logits:tensor([[0.6971, 0.2862]]), confscore:tensor([[0.3029, 0.7138]])
logits:tensor([[0.4399, 0.5353]]), confscore:tensor([[0.5601, 0.4647]])
logits:tensor([[0.7740, 0.2474]]), confscore:tensor([[0.2260, 0.7526]])
logits:tensor([[0.8208, 0.1578]]), confscore:tensor([[0.1792, 0.8422]])
logits:tensor([[0.7757, 0.2252]]), confscore:tensor([[0.2243, 0.7748]])
logits:tensor([[0.8244, 0.1541]]), confscore:tensor([[0.1756, 0.8459]])
logits:tensor([[0.7498, 0.2488]]), confscore:tensor([[0.2502, 0.7512]])
logits:tensor([[0.6553, 0.3728]]), confscore:tensor([[0.3447, 0.6272]])
logits:tensor([[0.6976, 0.3378]]), confscore:tensor([[0.3024, 0.6622]])
logits:tensor([[0.5038, 0.5080]]), confscore:tensor([[0.4962, 0.4920]])
logits:tensor([[0.5636, 0.4470]]), confscore:tensor([[0.4364, 0.5530]])
logits:tensor([[0.2652, 0.7090]]), confscore:tensor([[0.7348, 0.2910]])
logits:tensor([[0.6793, 0.3505]]), confscore:tensor([[0.3207, 0.6495]])
logits:tensor([[0.6790, 0.2996]]), confscore:tensor([[0.3210, 0.7004]])
logits:tensor([[0.8421, 0.1600]]), confscore:tensor([[0.1579, 0.8400]])
logits:tensor([[0.5567, 0.4288]]), confscore:tensor([[0.4433, 0.5712]])
logits:tensor([[0.3380, 0.6470]]), confscore:tensor([[0.6620, 0.3530]])
logits:tensor([[0.8408, 0.1616]]), confscore:tensor([[0.1592, 0.8384]])
logits:tensor([[0.7938, 0.1940]]), confscore:tensor([[0.2062, 0.8060]])
logits:tensor([[0.8648, 0.1710]]), confscore:tensor([[0.1352, 0.8290]])
logits:tensor([[0.9176, 0.0777]]), confscore:tensor([[0.0824, 0.9223]])
logits:tensor([[0.6577, 0.3486]]), confscore:tensor([[0.3423, 0.6514]])
logits:tensor([[0.2204, 0.7829]]), confscore:tensor([[0.7796, 0.2171]])
logits:tensor([[0.2417, 0.7537]]), confscore:tensor([[0.7583, 0.2463]])
logits:tensor([[0.8070, 0.1678]]), confscore:tensor([[0.1930, 0.8322]])
logits:tensor([[0.2826, 0.6817]]), confscore:tensor([[0.7174, 0.3183]])
logits:tensor([[0.4647, 0.5331]]), confscore:tensor([[0.5353, 0.4669]])
logits:tensor([[0.8157, 0.1877]]), confscore:tensor([[0.1843, 0.8123]])
logits:tensor([[0.4900, 0.4969]]), confscore:tensor([[0.5100, 0.5031]])
logits:tensor([[0.4027, 0.6237]]), confscore:tensor([[0.5973, 0.3763]])
logits:tensor([[0.7174, 0.2499]]), confscore:tensor([[0.2826, 0.7501]])
logits:tensor([[0.7271, 0.2700]]), confscore:tensor([[0.2729, 0.7300]])
logits:tensor([[0.8396, 0.1590]]), confscore:tensor([[0.1604, 0.8410]])
logits:tensor([[0.7952, 0.2202]]), confscore:tensor([[0.2048, 0.7798]])
logits:tensor([[0.6224, 0.3730]]), confscore:tensor([[0.3776, 0.6270]])
logits:tensor([[0.6552, 0.3043]]), confscore:tensor([[0.3448, 0.6957]])
logits:tensor([[0.4296, 0.5631]]), confscore:tensor([[0.5704, 0.4369]])
logits:tensor([[0.8022, 0.1503]]), confscore:tensor([[0.1978, 0.8497]])
logits:tensor([[0.8161, 0.2080]]), confscore:tensor([[0.1839, 0.7920]])
logits:tensor([[0.8405, 0.1726]]), confscore:tensor([[0.1595, 0.8274]])
logits:tensor([[0.7146, 0.2372]]), confscore:tensor([[0.2854, 0.7628]])
logits:tensor([[0.8094, 0.1925]]), confscore:tensor([[0.1906, 0.8075]])
logits:tensor([[0.3867, 0.6396]]), confscore:tensor([[0.6133, 0.3604]])
logits:tensor([[0.5097, 0.4790]]), confscore:tensor([[0.4903, 0.5210]])
logits:tensor([[0.7370, 0.2640]]), confscore:tensor([[0.2630, 0.7360]])
logits:tensor([[0.4315, 0.5737]]), confscore:tensor([[0.5685, 0.4263]])
logits:tensor([[0.6351, 0.3665]]), confscore:tensor([[0.3649, 0.6335]])
logits:tensor([[0.9429, 0.0567]]), confscore:tensor([[0.0571, 0.9433]])
logits:tensor([[0.4876, 0.4748]]), confscore:tensor([[0.5124, 0.5252]])
logits:tensor([[0.6556, 0.3483]]), confscore:tensor([[0.3444, 0.6517]])
logits:tensor([[0.8762, 0.1284]]), confscore:tensor([[0.1238, 0.8716]])
logits:tensor([[0.0361, 0.9671]]), confscore:tensor([[0.9639, 0.0329]])
logits:tensor([[0.8059, 0.2032]]), confscore:tensor([[0.1941, 0.7968]])
logits:tensor([[0.6478, 0.3501]]), confscore:tensor([[0.3522, 0.6499]])
logits:tensor([[0.8471, 0.1451]]), confscore:tensor([[0.1529, 0.8549]])
logits:tensor([[0.3913, 0.5979]]), confscore:tensor([[0.6087, 0.4021]])
logits:tensor([[0.8207, 0.1687]]), confscore:tensor([[0.1793, 0.8313]])
logits:tensor([[0.7976, 0.1986]]), confscore:tensor([[0.2024, 0.8014]])
logits:tensor([[0.5025, 0.4757]]), confscore:tensor([[0.4975, 0.5243]])
logits:tensor([[0.9021, 0.1034]]), confscore:tensor([[0.0979, 0.8966]])
logits:tensor([[0.6965, 0.2948]]), confscore:tensor([[0.3035, 0.7052]])
logits:tensor([[0.8220, 0.1883]]), confscore:tensor([[0.1780, 0.8117]])
logits:tensor([[0.7449, 0.2746]]), confscore:tensor([[0.2551, 0.7254]])
logits:tensor([[0.9329, 0.0761]]), confscore:tensor([[0.0671, 0.9239]])
logits:tensor([[0.7521, 0.2598]]), confscore:tensor([[0.2479, 0.7402]])
logits:tensor([[0.2661, 0.7260]]), confscore:tensor([[0.7339, 0.2740]])
logits:tensor([[0.5320, 0.4320]]), confscore:tensor([[0.4680, 0.5680]])
logits:tensor([[0.7085, 0.3010]]), confscore:tensor([[0.2915, 0.6990]])
logits:tensor([[0.8936, 0.0943]]), confscore:tensor([[0.1064, 0.9057]])
logits:tensor([[0.6379, 0.3361]]), confscore:tensor([[0.3621, 0.6639]])
logits:tensor([[0.2012, 0.7990]]), confscore:tensor([[0.7988, 0.2010]])
logits:tensor([[0.5370, 0.4930]]), confscore:tensor([[0.4630, 0.5070]])
logits:tensor([[0.5073, 0.5110]]), confscore:tensor([[0.4927, 0.4890]])
logits:tensor([[0.6139, 0.3627]]), confscore:tensor([[0.3861, 0.6373]])
logits:tensor([[0.5130, 0.4866]]), confscore:tensor([[0.4870, 0.5134]])
logits:tensor([[0.5614, 0.4249]]), confscore:tensor([[0.4386, 0.5751]])
logits:tensor([[0.6799, 0.2999]]), confscore:tensor([[0.3201, 0.7001]])
logits:tensor([[0.8284, 0.1543]]), confscore:tensor([[0.1716, 0.8457]])
logits:tensor([[0.8481, 0.1702]]), confscore:tensor([[0.1519, 0.8298]])
logits:tensor([[0.3298, 0.6684]]), confscore:tensor([[0.6702, 0.3316]])
logits:tensor([[0.6116, 0.3583]]), confscore:tensor([[0.3884, 0.6417]])
logits:tensor([[0.4097, 0.6261]]), confscore:tensor([[0.5903, 0.3739]])
logits:tensor([[0.5818, 0.3700]]), confscore:tensor([[0.4182, 0.6300]])
logits:tensor([[0.5601, 0.4610]]), confscore:tensor([[0.4399, 0.5390]])
logits:tensor([[0.3450, 0.6357]]), confscore:tensor([[0.6550, 0.3643]])
logits:tensor([[0.6248, 0.3840]]), confscore:tensor([[0.3752, 0.6160]])
logits:tensor([[0.8784, 0.1229]]), confscore:tensor([[0.1216, 0.8771]])
logits:tensor([[0.7840, 0.2207]]), confscore:tensor([[0.2160, 0.7793]])
logits:tensor([[0.8087, 0.1735]]), confscore:tensor([[0.1913, 0.8265]])
logits:tensor([[0.7347, 0.2689]]), confscore:tensor([[0.2653, 0.7311]])
logits:tensor([[0.7536, 0.2487]]), confscore:tensor([[0.2464, 0.7513]])
logits:tensor([[0.6334, 0.4023]]), confscore:tensor([[0.3666, 0.5977]])
logits:tensor([[0.8185, 0.1626]]), confscore:tensor([[0.1815, 0.8374]])
logits:tensor([[0.8134, 0.1665]]), confscore:tensor([[0.1866, 0.8335]])
logits:tensor([[0.8531, 0.1560]]), confscore:tensor([[0.1469, 0.8440]])
logits:tensor([[0.6178, 0.3800]]), confscore:tensor([[0.3822, 0.6200]])
logits:tensor([[0.2292, 0.7468]]), confscore:tensor([[0.7708, 0.2532]])
logits:tensor([[0.8242, 0.1883]]), confscore:tensor([[0.1758, 0.8117]])
logits:tensor([[0.3575, 0.6583]]), confscore:tensor([[0.6425, 0.3417]])
logits:tensor([[0.7352, 0.2488]]), confscore:tensor([[0.2648, 0.7512]])
logits:tensor([[0.6560, 0.3160]]), confscore:tensor([[0.3440, 0.6840]])
logits:tensor([[0.2960, 0.6843]]), confscore:tensor([[0.7040, 0.3157]])
logits:tensor([[0.4062, 0.5810]]), confscore:tensor([[0.5938, 0.4190]])
logits:tensor([[0.8918, 0.0957]]), confscore:tensor([[0.1082, 0.9043]])
logits:tensor([[0.8417, 0.1329]]), confscore:tensor([[0.1583, 0.8671]])
logits:tensor([[0.7211, 0.2546]]), confscore:tensor([[0.2789, 0.7454]])
logits:tensor([[0.7365, 0.2682]]), confscore:tensor([[0.2635, 0.7318]])
logits:tensor([[0.9097, 0.1088]]), confscore:tensor([[0.0903, 0.8912]])
logits:tensor([[0.7064, 0.2681]]), confscore:tensor([[0.2936, 0.7319]])
logits:tensor([[0.8272, 0.2173]]), confscore:tensor([[0.1728, 0.7827]])
logits:tensor([[0.5179, 0.5153]]), confscore:tensor([[0.4821, 0.4847]])
logits:tensor([[0.8353, 0.1484]]), confscore:tensor([[0.1647, 0.8516]])
logits:tensor([[0.2515, 0.7544]]), confscore:tensor([[0.7485, 0.2456]])
logits:tensor([[0.8713, 0.1280]]), confscore:tensor([[0.1287, 0.8720]])
logits:tensor([[0.6892, 0.3361]]), confscore:tensor([[0.3108, 0.6639]])
logits:tensor([[0.7583, 0.2478]]), confscore:tensor([[0.2417, 0.7522]])
logits:tensor([[0.4577, 0.5543]]), confscore:tensor([[0.5423, 0.4457]])
logits:tensor([[0.8133, 0.1797]]), confscore:tensor([[0.1867, 0.8203]])
logits:tensor([[0.4600, 0.5352]]), confscore:tensor([[0.5400, 0.4648]])
logits:tensor([[0.8196, 0.1811]]), confscore:tensor([[0.1804, 0.8189]])
logits:tensor([[0.7298, 0.2538]]), confscore:tensor([[0.2702, 0.7462]])
logits:tensor([[0.5393, 0.4415]]), confscore:tensor([[0.4607, 0.5585]])
logits:tensor([[0.7764, 0.2181]]), confscore:tensor([[0.2236, 0.7819]])
logits:tensor([[0.7219, 0.2960]]), confscore:tensor([[0.2781, 0.7040]])
logits:tensor([[0.8121, 0.1958]]), confscore:tensor([[0.1879, 0.8042]])
logits:tensor([[0.7300, 0.2808]]), confscore:tensor([[0.2700, 0.7192]])
logits:tensor([[0.9435, 0.0615]]), confscore:tensor([[0.0565, 0.9385]])
logits:tensor([[0.5489, 0.4127]]), confscore:tensor([[0.4511, 0.5873]])
logits:tensor([[0.1099, 0.8909]]), confscore:tensor([[0.8901, 0.1091]])
logits:tensor([[0.7423, 0.2518]]), confscore:tensor([[0.2577, 0.7482]])
logits:tensor([[0.7382, 0.2612]]), confscore:tensor([[0.2618, 0.7388]])
logits:tensor([[0.0285, 0.9657]]), confscore:tensor([[0.9715, 0.0343]])
logits:tensor([[0.6003, 0.3945]]), confscore:tensor([[0.3997, 0.6055]])
logits:tensor([[0.3517, 0.6247]]), confscore:tensor([[0.6483, 0.3753]])
logits:tensor([[0.6596, 0.3246]]), confscore:tensor([[0.3404, 0.6754]])
logits:tensor([[0.7869, 0.2223]]), confscore:tensor([[0.2131, 0.7777]])
logits:tensor([[0.7183, 0.2998]]), confscore:tensor([[0.2817, 0.7002]])
logits:tensor([[0.6166, 0.4044]]), confscore:tensor([[0.3834, 0.5956]])
logits:tensor([[0.8731, 0.1244]]), confscore:tensor([[0.1269, 0.8756]])
logits:tensor([[0.7663, 0.2206]]), confscore:tensor([[0.2337, 0.7794]])
logits:tensor([[0.7967, 0.1984]]), confscore:tensor([[0.2033, 0.8016]])
logits:tensor([[0.8450, 0.1582]]), confscore:tensor([[0.1550, 0.8418]])
logits:tensor([[0.7179, 0.2466]]), confscore:tensor([[0.2821, 0.7534]])
logits:tensor([[0.1568, 0.8353]]), confscore:tensor([[0.8432, 0.1647]])
logits:tensor([[0.7719, 0.2212]]), confscore:tensor([[0.2281, 0.7788]])
logits:tensor([[0.4299, 0.5370]]), confscore:tensor([[0.5701, 0.4630]])
logits:tensor([[0.4515, 0.5672]]), confscore:tensor([[0.5485, 0.4328]])
logits:tensor([[0.4778, 0.5130]]), confscore:tensor([[0.5222, 0.4870]])
logits:tensor([[0.7009, 0.3101]]), confscore:tensor([[0.2991, 0.6899]])
logits:tensor([[0.7724, 0.2008]]), confscore:tensor([[0.2276, 0.7992]])
logits:tensor([[0.5133, 0.5161]]), confscore:tensor([[0.4867, 0.4839]])
logits:tensor([[0.3964, 0.5991]]), confscore:tensor([[0.6036, 0.4009]])
logits:tensor([[0.7860, 0.2153]]), confscore:tensor([[0.2140, 0.7847]])
logits:tensor([[0.6990, 0.2757]]), confscore:tensor([[0.3010, 0.7243]])
logits:tensor([[0.5539, 0.3862]]), confscore:tensor([[0.4461, 0.6138]])
logits:tensor([[0.6878, 0.3122]]), confscore:tensor([[0.3122, 0.6878]])
logits:tensor([[0.9176, 0.0777]]), confscore:tensor([[0.0824, 0.9223]])
logits:tensor([[0.4495, 0.5608]]), confscore:tensor([[0.5505, 0.4392]])
logits:tensor([[0.8998, 0.1196]]), confscore:tensor([[0.1002, 0.8805]])
logits:tensor([[0.7164, 0.2773]]), confscore:tensor([[0.2836, 0.7227]])
logits:tensor([[0.7090, 0.2901]]), confscore:tensor([[0.2910, 0.7099]])
logits:tensor([[0.5900, 0.3980]]), confscore:tensor([[0.4100, 0.6020]])
logits:tensor([[0.7683, 0.2035]]), confscore:tensor([[0.2317, 0.7965]])
logits:tensor([[0.8030, 0.2073]]), confscore:tensor([[0.1970, 0.7927]])
logits:tensor([[0.7622, 0.2185]]), confscore:tensor([[0.2378, 0.7815]])
logits:tensor([[0.6440, 0.3740]]), confscore:tensor([[0.3560, 0.6260]])
logits:tensor([[0.8336, 0.1810]]), confscore:tensor([[0.1664, 0.8190]])
logits:tensor([[0.7239, 0.2688]]), confscore:tensor([[0.2761, 0.7312]])
logits:tensor([[0.7799, 0.2084]]), confscore:tensor([[0.2201, 0.7916]])
logits:tensor([[0.8454, 0.1542]]), confscore:tensor([[0.1546, 0.8458]])
logits:tensor([[0.8240, 0.1804]]), confscore:tensor([[0.1760, 0.8196]])
logits:tensor([[0.8493, 0.1266]]), confscore:tensor([[0.1507, 0.8734]])
logits:tensor([[0.2866, 0.7233]]), confscore:tensor([[0.7134, 0.2767]])
logits:tensor([[0.8925, 0.1264]]), confscore:tensor([[0.1075, 0.8736]])
logits:tensor([[0.6514, 0.3347]]), confscore:tensor([[0.3486, 0.6653]])
logits:tensor([[0.7985, 0.1855]]), confscore:tensor([[0.2015, 0.8145]])
logits:tensor([[0.3091, 0.6700]]), confscore:tensor([[0.6909, 0.3300]])
logits:tensor([[0.5768, 0.3814]]), confscore:tensor([[0.4232, 0.6186]])
logits:tensor([[0.1826, 0.8031]]), confscore:tensor([[0.8174, 0.1969]])
logits:tensor([[0.1826, 0.8031]]), confscore:tensor([[0.8174, 0.1969]])
logits:tensor([[0.7753, 0.2240]]), confscore:tensor([[0.2247, 0.7760]])
logits:tensor([[0.8001, 0.2147]]), confscore:tensor([[0.1999, 0.7853]])
logits:tensor([[0.4760, 0.5723]]), confscore:tensor([[0.5240, 0.4277]])
logits:tensor([[0.3876, 0.5882]]), confscore:tensor([[0.6124, 0.4118]])
logits:tensor([[0.3133, 0.7413]]), confscore:tensor([[0.6867, 0.2587]])
